X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm),Y:Pos_ROLL-?˜ë?ì²?deg),Y:Pos_PITCH-?˜ë?ì²?deg),Y:Pos_YAW-?˜ë?ì²?deg)
9.650253,446442.7,389985.8,321728.99,247665.54,173788.7,303479.46,229969.98,158017.68,93362.107,41742.809,-1.46E-28,42.64017,7289.2266,-0.000210993,0.016967413,-0.000313246
9.660253,446471.64,390078.81,321897.85,247906.37,174081.97,303177.85,229730.59,157856.25,93278.603,41721.413,-5.47E-28,42.70759,7289.2358,-0.000211485,0.019233827,-0.000312962
9.670253,446457.25,390129.49,322034.69,248130.79,174375.73,302869.43,229500.73,157719.2,93229.039,41734.421,3.25E-28,42.775014,7289.2451,-0.0002119,0.021359219,-0.000312609
9.680253,446498.37,390228.03,322198.09,248353.8,174640.41,302598.13,229280.07,157563.89,93140.906,41702.423,-2.41E-30,42.842443,7289.2544,-0.000212372,0.023330189,-0.000312378
9.690253,446526.37,390311.62,322346.95,248564.31,174895.66,302334.3,229069.47,157420.29,93064.67,41680.511,-5.21E-28,42.909876,7289.2638,-0.000212806,0.025135008,-0.000312136
9.700253,446524.95,390365.3,322471.37,248759.45,175145.85,302071.17,228869.34,157295.65,93012.362,41681.761,4.93E-29,42.977314,7289.2733,-0.00021318,0.026763741,-0.000311852
9.710253,446580.37,390467.93,322622.87,248952.95,175365.94,301846.32,228678.76,157152.35,92920.571,41636.893,1.54E-28,43.044755,7289.2829,-0.000213613,0.028208326,-0.000311694
9.720253,446607.72,390541.87,322750.74,249131.32,175580.59,301622.73,228498.6,157027.39,92851.69,41614.093,1.58E-28,43.1122,7289.2925,-0.000213986,0.029462635,-0.000311497
9.730253,446621.51,390600.46,322863.77,249297.03,175785.81,301406.48,228328.51,156914.31,92794.996,41601.701,-1.20E-28,43.179649,7289.3023,-0.000214322,0.030522516,-0.000311289
9.740253,446687.41,390703.92,323001.64,249461.23,175963.35,301225.33,228167.13,156784.07,92702.06,41546.994,-1.33E-28,43.247102,7289.3121,-0.00021471,0.031385816,-0.000311195
9.750253,446713.94,390768.65,323109.76,249609.46,176139.97,301039.24,228015.31,156676.48,92640.092,41523.452,-2.45E-28,43.314558,7289.3221,-0.000215027,0.032052365,-0.00031104
9.760253,446742.86,390833.07,323213.62,249749.21,176304.56,300865.35,227871.79,156572.84,92578.19,41497.541,-9.34E-29,43.382018,7289.3322,-0.00021533,0.032523959,-0.000310901
9.770253,446813.98,390933.91,323337.74,249887.95,176446.99,300719.58,227735.06,156455.11,92486.836,41437.346,-1.32E-28,43.449481,7289.3424,-0.000215676,0.032804304,-0.000310856
9.780253,446838.91,390990.38,323429.44,250011.83,176593.29,300563.04,227605.82,156361.71,92430.959,41413.857,-4.52E-28,43.516947,7289.3527,-0.000215945,0.032898942,-0.000310732
9.790253,446880.62,391060.53,323527.35,250132.43,176727.08,300421.26,227481.94,156264.27,92363.916,41376.556,-5.40E-29,43.584415,7289.3631,-0.000216225,0.032815165,-0.000310648
9.800253,446950.77,391155.4,323639.32,250252.94,176846.67,300297.63,227361.98,156156.91,92276.821,41316.127,2.38E-28,43.651887,7289.3737,-0.000216536,0.032561901,-0.000310627
9.810253,446972.74,391205,323719.74,250361.52,176974.88,300158.19,227246.44,156072.88,92225.968,41294.131,-2.82E-28,43.719361,7289.3843,-0.000216772,0.032149577,-0.000310519
9.820253,447022.96,391279.85,323815.74,250472.56,177092.24,300033.55,227132.39,155977.56,92154.665,41249.284,-5.62E-28,43.786838,7289.3951,-0.000217043,0.031589985,-0.000310468
9.830253,447085.72,391365.98,323918.76,250584.82,177204.93,299915.27,227018.81,155877.07,92074.182,41194.244,4.61E-28,43.854318,7289.406,-0.000217329,0.030896113,-0.000310442
