lift_weight(ton),lift_height(m),rising_angle(deg),swing_angle(deg),left_ground_pressure_max(kg/cm2),left_ground_pressure_min(kg/cm2),left_pressure_length(m),right_ground_pressure_max(kg/cm2),right_ground_pressure_min(kg/cm2),right_pressure_length(m),left-0.0m,left-0.675m,left-1.35m,left-2.025m,left-2.7m,left-3.375m,left-4.05m,left-4.725m,left-5.4m,left-6.075m,left-6.75m,right-0.0m,right-0.675m,right-1.35m,right-2.025m,right-2.7m,right-3.375m,right-4.05m,right-4.725m,right-5.4m,right-6.075m,right-6.75m
2,1,40,20,2.56,0,4.26,4.42,0,4.26,2.56,2.154,1.749,1.343,0.937,0.532,0.126,0,0,0,0,4.42,3.72,3.019,2.319,1.619,0.918,0.218,0,0,0,0
2,1,40,45,1.17,0,5.71,4.03,0,5.71,1.17,1.032,0.893,0.755,0.617,0.478,0.34,0.202,0.064,0,0,4.03,3.554,3.077,2.601,2.124,1.648,1.172,0.695,0.219,0,0
2,1,50,0,2.61,0,5.69,2.61,0,5.69,2.61,2.3,1.991,1.681,1.372,1.062,0.752,0.443,0.133,0,0,2.61,2.3,1.991,1.681,1.372,1.062,0.752,0.443,0.133,0,0
2,1,50,20,2.02,0,5.96,2.96,0,5.96,2.02,1.791,1.562,1.334,1.105,0.876,0.647,0.419,0.19,0,0,2.96,2.625,2.29,1.954,1.619,1.284,0.949,0.613,0.278,0,0
2,1,50,45,1.29,0,6.75,2.95,0,6.75,1.29,1.161,1.032,0.903,0.774,0.645,0.516,0.387,0.258,0.129,0,2.95,2.655,2.36,2.065,1.77,1.475,1.18,0.885,0.59,0.295,0
2,5,30,0,6.09,0,2.44,6.09,0,2.44,6.09,4.405,2.721,1.036,0,0,0,0,0,0,0,6.09,4.405,2.721,1.036,0,0,0,0,0,0,0
2,5,30,20,3.44,0,2.9,6.79,0,2.9,3.44,2.639,1.839,1.038,0.237,0,0,0,0,0,0,6.79,5.21,3.629,2.049,0.468,0,0,0,0,0,0
2,5,30,45,1.02,0,4.69,5.31,0,4.69,1.02,0.873,0.726,0.58,0.433,0.286,0.139,0,0,0,0,5.31,4.546,3.782,3.017,2.253,1.489,0.725,0,0,0,0
2,5,40,0,3.81,0,3.9,3.81,0,3.9,3.81,3.151,2.491,1.832,1.172,0.513,0,0,0,0,0,3.81,3.151,2.491,1.832,1.172,0.513,0,0,0,0,0
2,5,40,20,2.55,0,4.27,4.4,0,4.27,2.55,2.147,1.744,1.341,0.938,0.534,0.131,0,0,0,0,4.4,3.704,3.009,2.313,1.618,0.922,0.227,0,0,0,0
2,5,40,45,1.17,0,5.72,4.02,0,5.72,1.17,1.032,0.894,0.756,0.618,0.48,0.342,0.204,0.065,0,0,4.02,3.546,3.071,2.597,2.122,1.648,1.174,0.699,0.225,0,0
2,5,50,0,2.6,0,5.7,2.6,0,5.7,2.6,2.292,1.984,1.676,1.368,1.061,0.753,0.445,0.137,0,0,2.6,2.292,1.984,1.676,1.368,1.061,0.753,0.445,0.137,0,0
2,5,50,20,2.02,0,5.97,2.96,0,5.97,2.02,1.792,1.563,1.335,1.106,0.878,0.65,0.421,0.193,0,0,2.96,2.625,2.291,1.956,1.621,1.287,0.952,0.617,0.283,0,0
2,5,50,45,1.29,0.05,6.75,2.94,0.11,6.75,1.29,1.166,1.042,0.918,0.794,0.67,0.546,0.422,0.298,0.174,0.05,2.94,2.657,2.374,2.091,1.808,1.525,1.242,0.959,0.676,0.393,0.11
2,10,30,0,6.03,0,2.46,6.03,0,2.46,6.03,4.375,2.721,1.066,0,0,0,0,0,0,0,6.03,4.375,2.721,1.066,0,0,0,0,0,0,0
2,10,30,20,3.42,0,2.92,6.74,0,2.92,3.42,2.629,1.839,1.048,0.258,0,0,0,0,0,0,6.74,5.182,3.624,2.066,0.508,0,0,0,0,0,0
2,10,30,45,1.02,0,4.71,5.29,0,4.71,1.02,0.874,0.728,0.581,0.435,0.289,0.143,0,0,0,0,5.29,4.532,3.774,3.016,2.258,1.499,0.741,0,0,0,0
2,10,40,0,3.79,0,3.92,3.79,0,3.92,3.79,3.137,2.485,1.832,1.18,0.527,0,0,0,0,0,3.79,3.137,2.485,1.832,1.18,0.527,0,0,0,0,0
2,10,40,20,2.55,0,4.29,4.38,0,4.29,2.55,2.149,1.748,1.346,0.945,0.544,0.143,0,0,0,0,4.38,3.691,3.002,2.313,1.623,0.934,0.245,0,0,0,0
2,10,40,45,1.77,0,5.73,4.01,0,5.73,1.77,1.561,1.353,1.144,0.936,0.727,0.519,0.31,0.102,0,0,4.01,3.538,3.065,2.593,2.12,1.648,1.176,0.703,0.231,0,0
2,10,50,0,2.6,0,5.72,2.6,0,5.72,2.6,2.293,1.986,1.68,1.373,1.066,0.759,0.452,0.145,0,0,2.6,2.293,1.986,1.68,1.373,1.066,0.759,0.452,0.145,0,0
2,10,50,20,2.01,0,5.98,2.95,0,5.98,2.01,1.783,1.556,1.329,1.102,0.876,0.649,0.422,0.195,0,0,2.95,2.617,2.284,1.951,1.618,1.285,0.952,0.619,0.286,0,0
2,10,50,45,1.29,0.05,6.75,2.94,0.12,6.75,1.29,1.166,1.042,0.918,0.794,0.67,0.546,0.422,0.298,0.174,0.05,2.94,2.658,2.376,2.094,1.812,1.53,1.248,0.966,0.684,0.402,0.12
