X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
17.570253,500000,474379.24,223047.22,6083.0059,-0.000616826,500000,474660.39,223367.09,6094.5752,-0.000277232,-9.5930858,-9.50E-30,6158.8526
17.580253,500000,474380.32,222904.14,6012.6092,-0.000540865,500000,474780.57,223474.05,6084.7218,-0.000221131,-9.5962819,1.40E-29,6158.4142
17.590253,500000,474373.75,222772.35,5951.958,-0.000443191,500000,474884.64,223574.9,6080.1058,-0.000149439,-9.5994667,-1.39E-29,6157.9773
17.600253,500000,474359.44,222654.46,5902.2161,-0.000345687,500000,474970.46,223667.69,6080.9376,-8.38E-05,-9.6026401,1.78E-30,6157.5421
17.610253,500000,474340.54,222552.13,5862.4784,-0.000269151,500000,475039.2,223749.85,6085.39,-4.45E-05,-9.6058022,-3.23E-30,6157.1085
17.620253,500000,474322.73,222466.25,5830.2026,-0.000227134,500000,475094.7,223818.36,6090.0158,-4.46E-05,-9.6089527,7.68E-30,6156.6766
17.630253,500000,474312.81,222397.21,5802.1036,-0.000222004,500000,475142.03,223870.08,6090.6533,-8.61E-05,-9.6120919,3.22E-30,6156.2462
17.640253,500000,474316.91,222345.35,5775.2475,-0.000244397,500000,475185.77,223902.21,6083.5571,-0.000159082,-9.6152196,-7.80E-31,6155.8174
17.650253,500000,474338.86,222311.33,5748.0197,-0.000276222,500000,475228.4,223912.63,6066.413,-0.000244934,-9.6183359,1.21E-31,6155.3901
17.660253,500000,474379.32,222296.39,5720.6731,-0.000296304,500000,475269.44,223900.13,6038.9255,-0.00032204,-9.6214407,2.99E-30,6154.9645
17.670253,500000,474435.77,222302.3,5695.2887,-0.000286926,500000,475305.44,223864.39,6002.7914,-0.000372164,-9.624534,4.81E-30,6154.5404
17.680253,500000,474503.49,222331.12,5675.1672,-0.000239295,500000,475331.02,223805.81,5961.0766,-0.000385909,-9.6276157,4.70E-31,6154.1179
17.690253,500000,474577.13,222384.82,5663.8466,-0.00015627,500000,475340.42,223725.17,5917.197,-0.000365432,-9.630686,-7.26E-32,6153.6969
17.700253,500000,474652.5,222464.76,5664.049,-5.16E-05,500000,475329.2,223623.22,5873.8276,-0.000323674,-9.6337447,5.25E-31,6153.2776
17.710253,500000,474727.83,222571.42,5676.865,5.43E-05,500000,475295.62,223500.42,5832.0674,-0.000280374,-9.6367919,-1.17E-30,6152.8598
17.720253,500000,474804.38,222704.16,5701.4039,0.000140025,500000,475241.16,223356.73,5791.1009,-0.00025607,-9.6398275,-1.75E-31,6152.4436
17.730253,500000,474886.08,222861.42,5735.0061,0.000189896,500000,475170.2,223191.69,5748.4477,-0.000265879,-9.6428516,1.44E-30,6152.029
17.740253,500000,474978.31,223041,5773.9566,0.00019827,500000,475088.82,223004.65,5700.724,-0.000314901,-9.645864,1.16E-30,6151.616
17.750253,500000,475086.25,223240.53,5814.5026,0.000171206,500000,475003.12,222795.19,5644.6918,-0.000396615,-9.6488648,7.33E-30,6151.2045
17.760253,500000,475213.22,223457.89,5853.8783,0.000124518,500000,474917.62,222563.45,5578.2819,-0.000494743,-9.651854,3.65E-30,6150.7945
17.770253,500000,475359.6,223691.45,5891.029,7.89E-05,500000,474834.05,222310.42,5501.2742,-0.000588042,-9.6548316,-5.36E-30,6150.3861
17.780253,500000,475522.55,223940.14,5926.8072,5.38E-05,500000,474751.16,222038.08,5415.4242,-0.000656587,-9.6577975,-4.20E-30,6149.9792
17.790253,500000,475696.69,224203.27,5963.5791,6.11E-05,500000,474665.3,221749.23,5323.9973,-0.000687629,-9.6607518,1.21E-29,6149.5739
17.800253,500000,475875.57,224480.16,6004.3648,0.000102295,500000,474571.83,221447.16,5230.8674,-0.000679311,-9.6636943,-1.16E-29,6149.1702
17.810253,500000,476053.32,224769.82,6051.778,0.000167311,500000,474466.84,221135.26,5139.4647,-0.000641101,-9.6666252,-9.46E-31,6148.768
17.820253,500000,476226.17,225070.56,6107.0823,0.000238057,500000,474348.6,220816.5,5051.8916,-0.000590887,-9.6695443,-6.95E-31,6148.3675
17.830253,500000,476393.3,225379.94,6169.6379,0.000293618,500000,474218.39,220493.19,4968.4564,-0.00054959,-9.6724517,-1.48E-29,6147.9685
17.840253,500000,476556.76,225694.8,6236.8967,0.000316485,500000,474080.5,220166.88,4887.7447,-0.000534914,-9.6753474,1.67E-29,6147.5711
17.850253,500000,476720.59,226011.58,6304.952,0.000297723,500000,473941.3,219838.51,4807.1953,-0.000556066,-9.6782313,-1.39E-29,6147.1753
