X:FY_Bushing-L1(N),Y:FY_Bushing-L1(N),Y:FY_Bushing-L2(N),Y:FY_Bushing-L3(N),Y:FY_Bushing-L4(N),Y:FY_Bushing-L5(N),Y:FY_Bushing-R1(N),Y:FY_Bushing-R2(N),Y:FY_Bushing-R3(N),Y:FY_Bushing-R4(N),Y:FY_Bushing-R5(N),Y:Pos1_Relative-ê¸°ë³µ?Œì „(deg),Y:Pos1_Relative-? íšŒ?Œì „(deg),Y:Pos_TY-?¸ì–‘ë¬?mm)
38.540253,284415.32,273600.7,262746.28,251870.4,240991.36,138005,129151.43,120471.99,111980.37,103690.28,-30,83.436323,2620.3502
38.550253,284090.84,273432.03,262734.85,252016.84,241295.54,137732.08,129023.74,120484.19,112126.49,103963.7,-30,83.481217,2620.4099
38.560253,283765.07,273263.44,262724.83,252166.02,241603.78,137455.42,128893.45,120494.99,112272.44,104238.25,-30,83.526113,2620.4724
38.570253,283438.39,273095.18,262716.37,252317.98,241916.03,137175.06,128760.53,120504.24,112418,104513.62,-30,83.57101,2620.5375
38.580253,283111.21,272927.54,262709.63,252472.75,242232.18,136891.12,128624.95,120511.82,112562.93,104789.5,-30,83.615908,2620.6053
38.590253,282783.93,272760.79,262704.73,252630.31,242552.09,136603.73,128486.72,120517.61,112706.99,105065.52,-30,83.660808,2620.6757
38.600253,282456.99,272595.21,262701.8,252790.62,242875.54,136313.07,128345.89,120521.5,112849.96,105341.32,-30,83.705709,2620.7486
38.610253,282130.85,272431.08,262700.94,252953.61,243202.29,136019.38,128202.52,120523.42,112991.58,105616.54,-30,83.750612,2620.8239
38.620253,281805.95,272268.67,262702.23,253119.18,243532.06,135722.92,128056.7,120523.27,113131.63,105890.77,-30,83.795516,2620.9017
38.630253,281482.77,272108.23,262705.74,253287.19,243864.5,135423.97,127908.53,120521,113269.87,106163.63,-30,83.840422,2620.9819
38.640253,281161.75,271950.03,262711.51,253457.49,244199.25,135122.88,127758.16,120516.56,113406.08,106434.71,-30,83.885329,2621.0644
38.650253,280843.36,271794.3,262719.58,253629.88,244535.91,134819.99,127605.75,120509.92,113540.04,106703.62,-30,83.930237,2621.1492
38.660253,280528.05,271641.28,262729.94,253804.16,244874.05,134515.7,127451.47,120501.05,113671.53,106969.98,-30,83.975146,2621.2362
38.670253,280216.25,271491.19,262742.6,253980.08,245213.21,134210.4,127295.52,120489.96,113800.37,107233.38,-30,84.020057,2621.3255
38.680253,279908.38,271344.2,262757.53,254157.41,245552.91,133904.51,127138.12,120476.67,113926.37,107493.47,-30,84.06497,2621.4169
38.690253,279604.84,271200.52,262774.67,254335.86,245892.66,133598.47,126979.5,120461.18,114049.36,107749.88,-30,84.109883,2621.5104
38.700253,279306.02,271060.28,262793.96,254515.16,246231.95,133292.71,126819.89,120443.56,114169.19,108002.27,-30,84.154798,2621.6061
38.710253,279012.25,270923.62,262815.33,254695,246570.27,132987.69,126659.55,120423.86,114285.74,108250.32,-30,84.199714,2621.7039
38.720253,278723.86,270790.67,262838.68,254875.09,246907.1,132683.86,126498.73,120402.14,114398.87,108493.73,-30,84.244632,2621.8037
38.730253,278441.14,270661.5,262863.89,255055.11,247241.95,132381.64,126337.69,120378.49,114508.51,108732.25,-30,84.28955,2621.9055
38.740253,278164.34,270536.18,262890.85,255234.76,247574.3,132081.48,126176.69,120353,114614.58,108965.62,-30,84.33447,2622.0093
38.750253,277893.67,270414.74,262919.42,255413.72,247903.69,131783.78,126016,120325.78,114717.03,109193.64,-30,84.379392,2622.1151
38.760253,277629.31,270297.21,262949.45,255591.7,248229.64,131488.96,125855.87,120296.95,114815.82,109416.15,-30,84.424314,2622.2229
38.770253,277371.37,270183.56,262980.78,255768.39,248551.71,131197.38,125696.55,120266.61,114910.96,109633,-30,84.469238,2622.3325
38.780253,277119.97,270073.77,263013.27,255943.51,248869.51,130909.4,125538.28,120234.91,115002.46,109844.1,-30,84.514163,2622.4441
38.790253,276875.13,269967.77,263046.74,256116.78,249182.65,130625.34,125381.3,120201.99,115090.36,110049.38,-30,84.559089,2622.5575
38.800253,276636.86,269865.47,263081.02,256287.97,249490.79,130345.5,125225.81,120167.97,115174.72,110248.83,-30,84.604017,2622.6728
